Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
55-59,Man,Bachelor's,Other,Academics/Education,"1000-9,999 employees",recently started,"125,000-149,999",10-20 years,5-10 years,deep learning workstation,,Never,,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes
40-44,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
25-29,Man,Master's,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees",exploring,"90,000-99,999",3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,,,,
30-34,Man,Bachelor's,Data Scientist,Non-profit/Service,250-999 employees,for insights only,"90,000-99,999",5-10 years,4-5 years,laptop,,Never,Local development environments,,,Yes,,,,,,Yes,Yes,,Yes,
30-34,Man,Master's,Software Engineer,Shipping/Transportation,250-999 employees,exploring,"125,000-149,999",10-20 years,5-10 years,desktop,PostgreSQL ,Never,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,
35-39,Man,Doctoral,Machine Learning Engineer,Broadcasting/Communications,250-999 employees,recently started,"90,000-99,999",5-10 years,3-4 years,desktop,,Never,,Yes,,,Yes,,,Yes,,,,,,
45-49,Man,Doctoral,Other,Insurance/Risk Assessment,"10,000 or more employees",recently started,"300,000-499,999",20+ years,3-4 years,desktop,,Never,Basic statistical software,Yes,,,,,Yes,,,Yes,,Yes,,
45-49,Man,Bachelor's,Currently not employed,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
40-44,Woman,Doctoral,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Once,Basic statistical software,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
25-29,Woman,Doctoral,Research Scientist,Academics/Education,0-49 employees,I do not know,"30,000-39,999",3-5 years,2-3 years,desktop,,Never,Local development environments,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
25-29,Man,Doctoral,Student,,,,,5-10 years,4-5 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,,,,
40-44,Man,college study without degree,Other,Government/Public Service,"10,000 or more employees",I do not know,"30,000-39,999",20+ years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
30-34,Man,Master's,Data Scientist,Computers/Technology,0-49 employees,for insights only,"150,000-199,999",10-20 years,5-10 years,cloud computing platform,SQLite ,6-25 times,Business intelligence software,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes
55-59,Woman,Master's,Product Manager,Computers/Technology,"10,000 or more employees",recently started,"250,000-299,999",< 1 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,,,
18-21,Man,Master's,Software Engineer,Computers/Technology,0-49 employees,exploring,0-999,3-5 years,Under 1 year,laptop,,Never,,Yes,,,,Yes,,,,,,,,
30-34,Woman,Master's,Student,,,,,10-20 years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,
30-34,Man,Master's,Data Analyst,Retail/Sales,0-49 employees,exploring,"100,000-124,999",5-10 years,2-3 years,laptop,PostgreSQL ,6-25 times,Local development environments,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
40-44,Man,Doctoral,Data Scientist,Accounting/Finance,"1000-9,999 employees",well established,">1,000,000",20+ years,5-10 years,desktop,,Never,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Woman,Bachelor's,Business Analyst,Computers/Technology,"1000-9,999 employees",I do not know,"90,000-99,999",1-3 years,I do not use machine learning methods,desktop,,Never,,Yes,,Yes,,,,,,,,,,
40-44,Man,Master's,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",do not use,"100,000-124,999",20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
30-34,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,,,,,,,,
35-39,Man,Master's,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",well established,"150,000-199,999",5-10 years,5-10 years,cloud computing platform,,Never,Local development environments,,Yes,Yes,,,,,Yes,Yes,,Yes,,
35-39,Man,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Woman,college study without degree,Business Analyst,Medical/Pharmaceutical,250-999 employees,do not use,"50,000-59,999",< 1 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,Yes,Yes,Yes,,,,,,Yes,,,
30-34,Woman,Doctoral,Software Engineer,Computers/Technology,"10,000 or more employees",I do not know,"250,000-299,999",5-10 years,I do not use machine learning methods,desktop,,Never,,,,,,,,,,,,,,
50-54,Man,Doctoral,Other,Academics/Education,"1000-9,999 employees",I do not know,"150,000-199,999",20+ years,20 or more years,laptop,,Never,Basic statistical software,Yes,,,,,,Yes,,,,,,Yes
35-39,Man,Doctoral,Other,Computers/Technology,"10,000 or more employees",exploring,"200,000-249,999",1-3 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
18-21,Woman,Bachelor's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
35-39,Man,Doctoral,Data Scientist,Hospitality/Entertainment/Sports,"10,000 or more employees",recently started,"100,000-124,999",1-3 years,2-3 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
60-69,Man,Bachelor's,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"100,000-124,999",20+ years,Under 1 year,desktop,Google Cloud SQL ,Never,Basic statistical software,,,Yes,,,,,,,,,,
55-59,Nonbinary,Bachelor's,Student,,,,,20+ years,Under 1 year,desktop,,6-25 times,Other,,,,Yes,Yes,Yes,Yes,,,,,,
22-24,Woman,Master's,Student,,,,,< 1 years,,laptop,,Never,,,,,,,,,,,,,,
50-54,Man,Bachelor's,Data Scientist,Accounting/Finance,0-49 employees,exploring,0-999,20+ years,Under 1 year,desktop,,Never,Other,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,
22-24,Man,Master's,Machine Learning Engineer,Online Business/Internet-based Sales,"1000-9,999 employees",well established,"90,000-99,999",3-5 years,2-3 years,laptop,Google Cloud BigQuery ,6-25 times,Local development environments,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,
22-24,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,,,Yes,,,,,,,,,,,
60-69,Man,Bachelor's,Statistician,Government/Public Service,0-49 employees,do not use,0-999,5-10 years,Under 1 year,laptop,,Never,Basic statistical software,,,,,,,,,Yes,,,,
25-29,Man,Master's,Machine Learning Engineer,Online Service/Internet-based Services,"10,000 or more employees",well established,"125,000-149,999",10-20 years,5-10 years,cloud computing platform,,More than 25 times,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes
22-24,Man,Doctoral,Product Manager,Government/Public Service,0-49 employees,exploring,0-999,I have never written code,,,,,Local development environments,,,,,,,,,,,,,
30-34,Woman,Doctoral,Student,,,,,1-3 years,2-3 years,laptop,,6-25 times,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
40-44,Man,Master's,Machine Learning Engineer,Computers/Technology,0-49 employees,I do not know,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
60-69,Man,Master's,Data Engineer,Accounting/Finance,"10,000 or more employees",well established,"150,000-199,999",20+ years,2-3 years,desktop,Google Cloud BigQuery ,Never,Basic statistical software,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,
60-69,Prefer not to say,Master's,Software Engineer,Academics/Education,"1000-9,999 employees",exploring,"40,000-49,999",10-20 years,I do not use machine learning methods,laptop,MongoDB ,Never,Advanced statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Data Analyst,Computers/Technology,"10,000 or more employees",,,3-5 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,,,,Yes,,,,,,
30-34,Man,Master's,Software Engineer,Academics/Education,0-49 employees,recently started,"125,000-149,999",5-10 years,3-4 years,deep learning workstation,,Once,Local development environments,Yes,,,Yes,Yes,Yes,,,,,,,Yes
30-34,Man,Bachelor's,Data Analyst,Military/Security/Defense,"10,000 or more employees",well established,"80,000-89,999",3-5 years,I do not use machine learning methods,desktop,Microsoft SQL Server ,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,,,,Yes,Yes,,,
18-21,Man,Bachelor's,Student,,,,,5-10 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,,,,,,,,
55-59,Man,Master's,Program/Project Manager,Medical/Pharmaceutical,"1000-9,999 employees",I do not know,"90,000-99,999",1-3 years,Under 1 year,desktop,,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
25-29,Man,Bachelor's,Research Scientist,Manufacturing/Fabrication,"10,000 or more employees",recently started,"90,000-99,999",3-5 years,1-2 years,laptop,MySQL ,Once,Local development environments,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes
45-49,Woman,Bachelor's,Other,Academics/Education,"1000-9,999 employees",I do not know,"10,000-14,999",10-20 years,Under 1 year,laptop,PostgreSQL ,Never,Local development environments,Yes,,,Yes,,,,,Yes,Yes,Yes,,
18-21,Man,college study without degree,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
45-49,Man,Master's,Data Scientist,Non-profit/Service,"1000-9,999 employees",exploring,"150,000-199,999",10-20 years,2-3 years,laptop,,2-5 times,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
30-34,Man,Bachelor's,Product Manager,,,,,10-20 years,,cloud computing platform,,Never,,,,Yes,,,,,,,,,,
45-49,Woman,Bachelor's,Other,Academics/Education,50-249 employees,do not use,"10,000-14,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
40-44,Man,Master's,Data Engineer,Computers/Technology,"10,000 or more employees",well established,"100,000-124,999",1-3 years,1-2 years,laptop,PostgreSQL ,Never,Local development environments,Yes,,Yes,,Yes,,Yes,,,Yes,,,
18-21,Man,Bachelor's,Student,,,,,< 1 years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,
40-44,Woman,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
40-44,Man,Master's,Data Scientist,Academics/Education,"1000-9,999 employees",recently started,"100,000-124,999",10-20 years,1-2 years,desktop,,Once,Basic statistical software,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,,
25-29,Man,college study without degree,Currently not employed,,,,,3-5 years,Under 1 year,laptop,,6-25 times,Basic statistical software,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,
55-59,Man,Bachelor's,Data Analyst,Online Service/Internet-based Services,0-49 employees,do not use,"70,000-79,999",20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
45-49,Woman,Master's,Currently not employed,,,,,5-10 years,1-2 years,cloud computing platform,,Once,Local development environments,Yes,Yes,,Yes,,Yes,,,,,,,
40-44,Woman,Professional doctorate,Data Analyst,Marketing/CRM,"1000-9,999 employees",I do not know,"100,000-124,999",20+ years,5-10 years,laptop,,2-5 times,Advanced statistical software,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,
18-21,Man,Bachelor's,Student,,,,,3-5 years,1-2 years,desktop,,6-25 times,,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,,Yes
40-44,Man,Bachelor's,Currently not employed,,,,,10-20 years,Under 1 year,desktop,,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
22-24,Man,Master's,Student,,,,,3-5 years,2-3 years,deep learning workstation,,2-5 times,Cloud-based data software & APIs,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes
30-34,Man,Master's,Data Engineer,Military/Security/Defense,250-999 employees,exploring,"100,000-124,999",10-20 years,1-2 years,cloud computing platform,SQLite ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
70+,Man,Professional doctorate,Research Scientist,Government/Public Service,"10,000 or more employees",well established,"200,000-249,999",20+ years,Under 1 year,desktop,,Never,,,Yes,,,,,,,Yes,Yes,,Yes,
22-24,Man,Master's,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",well established,"10,000-14,999",1-3 years,Under 1 year,laptop,Google Cloud BigQuery ,Never,Basic statistical software,Yes,,Yes,Yes,,,,,,,,,
30-34,Man,college study without degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",well established,">1,000,000",10-20 years,5-10 years,cloud computing platform,,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,
25-29,Woman,Bachelor's,Student,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,,,,Yes,,,,,,,,,,
50-54,Woman,Master's,Other,Academics/Education,"1000-9,999 employees",recently started,"60,000-69,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Doctoral,Machine Learning Engineer,Computers/Technology,50-249 employees,for insights only,"5,000-7,499",3-5 years,3-4 years,deep learning workstation,,2-5 times,Advanced statistical software,,,,,,,,,,,,,
35-39,Woman,Bachelor's,Other,Retail/Sales,0-49 employees,do not use,"60,000-69,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
30-34,Man,Master's,Data Engineer,Military/Security/Defense,"10,000 or more employees",well established,"250,000-299,999",5-10 years,5-10 years,laptop,Snowflake ,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,
22-24,Nonbinary,Bachelor's,Product Manager,Computers/Technology,250-999 employees,well established,"90,000-99,999",1-3 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Master's,Data Scientist,Academics/Education,"1000-9,999 employees",for insights only,"100,000-124,999",5-10 years,4-5 years,desktop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
50-54,Man,Bachelor's,Other,Computers/Technology,"10,000 or more employees",I do not know,"80,000-89,999",1-3 years,I do not use machine learning methods,laptop,,Never,Other,Yes,,,,,,,,,,,,
30-34,Woman,Master's,Data Scientist,Computers/Technology,"1000-9,999 employees",well established,"125,000-149,999",5-10 years,Under 1 year,laptop,Snowflake ,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,,
55-59,Man,Doctoral,Research Scientist,Academics/Education,"1000-9,999 employees",well established,"80,000-89,999",5-10 years,5-10 years,desktop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Man,Master's,Student,,,,,5-10 years,4-5 years,deep learning workstation,,Never,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,Yes
40-44,Man,Master's,Data Analyst,Hospitality/Entertainment/Sports,"10,000 or more employees",well established,"100,000-124,999",10-20 years,3-4 years,cloud computing platform,Google Cloud BigQuery ,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
35-39,Man,Bachelor's,Data Scientist,Energy/Mining,"1000-9,999 employees",exploring,"125,000-149,999",3-5 years,3-4 years,deep learning workstation,Microsoft Azure SQL Database ,Once,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
35-39,Man,Master's,Data Analyst,Broadcasting/Communications,"10,000 or more employees",well established,"70,000-79,999",5-10 years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Business intelligence software,,,Yes,,,,,,,,,,
55-59,Man,Bachelor's,Data Analyst,Accounting/Finance,50-249 employees,I do not know,"40,000-49,999",I have never written code,,,,,Business intelligence software,,,,,,,,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,250-999 employees,exploring,"7,500-9,999",I have never written code,,,,,,,,,,,,,,,,,,
60-69,Man,Master's,Other,Manufacturing/Fabrication,"10,000 or more employees",I do not know,"80,000-89,999",3-5 years,1-2 years,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,
60-69,Man,Doctoral,Data Analyst,Energy/Mining,0-49 employees,do not use,"100,000-124,999",20+ years,4-5 years,laptop,Microsoft SQL Server ,2-5 times,Local development environments,,Yes,Yes,,,,,,Yes,,,,
30-34,Man,Master's,Data Scientist,Military/Security/Defense,"10,000 or more employees",well established,"100,000-124,999",5-10 years,2-3 years,deep learning workstation,,Never,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes
25-29,Woman,Master's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Advanced statistical software,Yes,Yes,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,1-2 years,desktop,,6-25 times,Local development environments,Yes,,,,Yes,,Yes,,,,,,Yes
45-49,Man,Master's,Software Engineer,Accounting/Finance,"10,000 or more employees",recently started,"125,000-149,999",20+ years,2-3 years,laptop,Google Cloud Firestore ,2-5 times,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes
30-34,Woman,prefer not to answer,Other,Retail/Sales,0-49 employees,do not use,"80,000-89,999",< 1 years,I do not use machine learning methods,None,,Never,Basic statistical software,,,,,,,,,,,,,
60-69,Man,Doctoral,Research Scientist,Medical/Pharmaceutical,0-49 employees,well established,"300,000-499,999",20+ years,5-10 years,deep learning workstation,SQLite ,Once,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes
25-29,Man,Master's,Data Scientist,Other,0-49 employees,I do not know,0-999,< 1 years,Under 1 year,laptop,,Never,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,
30-34,Man,Doctoral,Data Scientist,Academics/Education,"1000-9,999 employees",well established,,< 1 years,1-2 years,laptop,,2-5 times,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,Yes
50-54,Man,Doctoral,Machine Learning Engineer,Academics/Education,0-49 employees,recently started,"125,000-149,999",10-20 years,5-10 years,laptop,,Once,Local development environments,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,Yes
30-34,Woman,Master's,Program/Project Manager,Academics/Education,"10,000 or more employees",I do not know,0-999,I have never written code,,,,,,,,,,,,,,,,,,
40-44,Man,Master's,Data Analyst,Broadcasting/Communications,"10,000 or more employees",well established,0-999,20+ years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,Yes,Yes,,,,,
55-59,Man,Doctoral,Other,Academics/Education,"1000-9,999 employees",I do not know,"80,000-89,999",I have never written code,,,,,Advanced statistical software,,,,,,,,,,,,,
60-69,Man,Master's,Product Manager,Computers/Technology,"10,000 or more employees",I do not know,"125,000-149,999",20+ years,1-2 years,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70+,Man,Doctoral,Statistician,Academics/Education,"1000-9,999 employees",I do not know,0-999,20+ years,20 or more years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,
25-29,Woman,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,desktop,,Never,Other,Yes,,Yes,,,,,,,,,,
60-69,Man,college study without degree,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",exploring,"90,000-99,999",20+ years,2-3 years,cloud computing platform,Oracle Database ,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
18-21,Man,Bachelor's,Student,,,,,3-5 years,4-5 years,laptop,,More than 25 times,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
55-59,Woman,Master's,Other,Computers/Technology,0-49 employees,for insights only,"200,000-249,999",20+ years,5-10 years,cloud computing platform,PostgreSQL ,Never,Local development environments,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes
30-34,Man,Doctoral,Research Scientist,Other,"1000-9,999 employees",well established,"100,000-124,999",10-20 years,4-5 years,laptop,,Once,Basic statistical software,Yes,,,,,Yes,,,,,,,Yes
25-29,Man,Master's,Student,,,,,1-3 years,I do not use machine learning methods,desktop,,2-5 times,Local development environments,Yes,,Yes,,,,,,,,,,
60-69,Man,Master's,Currently not employed,,,,,20+ years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,
40-44,Woman,Doctoral,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",recently started,"150,000-199,999",10-20 years,5-10 years,cloud computing platform,Microsoft SQL Server ,Once,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
30-34,Man,Master's,Data Scientist,Energy/Mining,50-249 employees,well established,"150,000-199,999",10-20 years,5-10 years,cloud computing platform,MongoDB ,2-5 times,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,250-999 employees,well established,"250,000-299,999",5-10 years,4-5 years,cloud computing platform,,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,
45-49,Man,Master's,Data Analyst,Government/Public Service,50-249 employees,I do not know,"80,000-89,999",5-10 years,1-2 years,desktop,Microsoft SQL Server ,Never,Advanced statistical software,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes
30-34,Man,Bachelor's,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",well established,"300,000-499,999",10-20 years,Under 1 year,deep learning workstation,,Never,Other,Yes,,,,,,Yes,,Yes,Yes,,,
40-44,Man,Master's,Data Scientist,Hospitality/Entertainment/Sports,"1000-9,999 employees",well established,"150,000-199,999",10-20 years,5-10 years,desktop,MySQL ,2-5 times,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,
40-44,Man,Bachelor's,Product Manager,Other,"10,000 or more employees",I do not know,"100,000-124,999",5-10 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
50-54,Man,college study without degree,Data Engineer,Broadcasting/Communications,250-999 employees,I do not know,"100,000-124,999",10-20 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
60-69,Man,Master's,Currently not employed,,,,,10-20 years,4-5 years,laptop,,Never,Business intelligence software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
40-44,Woman,Master's,Research Scientist,Academics/Education,50-249 employees,for insights only,0-999,3-5 years,1-2 years,laptop,,Never,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,,Yes
50-54,Prefer not to say,Master's,Data Scientist,Other,250-999 employees,well established,"250,000-299,999",10-20 years,5-10 years,deep learning workstation,,Once,Local development environments,Yes,,,,,,Yes,Yes,,,Yes,,
22-24,Woman,Master's,Student,,,,,5-10 years,1-2 years,cloud computing platform,,Once,Local development environments,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes
55-59,Man,Bachelor's,Data Scientist,Computers/Technology,0-49 employees,recently started,"2,000-2,999",20+ years,4-5 years,desktop,,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes
35-39,Woman,Doctoral,Data Scientist,Medical/Pharmaceutical,0-49 employees,exploring,,1-3 years,1-2 years,laptop,,Never,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
25-29,Man,Master's,Research Scientist,Other,"1000-9,999 employees",I do not know,"50,000-59,999",< 1 years,I do not use machine learning methods,desktop,,Never,,Yes,,,,,,,,,,,,
50-54,Man,Doctoral,Currently not employed,,,,,1-3 years,1-2 years,desktop,,Once,Cloud-based data software & APIs,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,
60-69,Man,Doctoral,Other,Academics/Education,250-999 employees,for insights only,"80,000-89,999",20+ years,20 or more years,desktop,,Never,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,Yes
35-39,Woman,college study without degree,Other,Government/Public Service,"1000-9,999 employees",I do not know,"40,000-49,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",well established,"150,000-199,999",10-20 years,5-10 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Bachelor's,Data Analyst,Accounting/Finance,50-249 employees,exploring,"60,000-69,999",1-3 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
35-39,Man,Master's,Business Analyst,Computers/Technology,0-49 employees,I do not know,0-999,I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
25-29,Woman,Doctoral,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,,,,,,Yes,,,,
50-54,Man,Bachelor's,Program/Project Manager,Accounting/Finance,50-249 employees,I do not know,"100,000-124,999",1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,,,,,,,,,,,,,
40-44,Man,Doctoral,Statistician,Medical/Pharmaceutical,0-49 employees,exploring,"150,000-199,999",10-20 years,3-4 years,laptop,Microsoft Azure Cosmos DB ,2-5 times,Local development environments,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,
30-34,Man,Doctoral,Research Scientist,Computers/Technology,0-49 employees,recently started,"100,000-124,999",10-20 years,Under 1 year,deep learning workstation,,Never,Local development environments,Yes,,,Yes,,Yes,Yes,,,Yes,Yes,,Yes
25-29,Man,Master's,Data Scientist,Accounting/Finance,50-249 employees,for insights only,"25,000-29,999",3-5 years,3-4 years,laptop,MySQL ,6-25 times,Local development environments,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,
35-39,Man,Master's,Data Scientist,Marketing/CRM,50-249 employees,well established,"90,000-99,999",5-10 years,3-4 years,cloud computing platform,MySQL ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
60-69,Man,college study without degree,Business Analyst,Energy/Mining,50-249 employees,exploring,"100,000-124,999",I have never written code,,,,,Other,,,,,,,,,,,,,
25-29,Man,college study without degree,Student,,,,,3-5 years,I do not use machine learning methods,desktop,,Never,,,Yes,Yes,,,,,,,,,,
35-39,Woman,Bachelor's,Student,,,,,< 1 years,,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
18-21,Woman,Master's,Program/Project Manager,Accounting/Finance,"1000-9,999 employees",well established,"40,000-49,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
